SEASON,YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUMBER OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
1998-99,1999,1,439,548,,659,,134,1780,97593,396,0.018239,0.0308581
1998-99,1999,2,431,874,,962,,140,2407,94632,396,0.0254354,0.0416383
1998-99,1999,3,801,1689,,1168,,206,3864,106864,399,0.0361581,0.0558049
1998-99,1999,4,755,2185,,1419,,186,4545,111421,397,0.0407912,0.0525328
1998-99,1999,5,970,2919,,1562,,219,5670,111667,397,0.050776,0.0674667
1998-99,1999,6,1029,2911,,1591,,237,5768,114244,379,0.0504884,0.0757188
1998-99,1999,7,822,2275,,1599,,224,4920,104830,376,0.0469331,0.0687287
1998-99,1999,8,800,1932,,1520,,234,4486,105946,352,0.0423423,0.0635098
1998-99,1999,9,769,1543,,1357,,241,3910,97176,359,0.0402363,0.0541099
1998-99,1999,10,539,1140,,1041,,202,2922,97612,351,0.0299348,0.0455008
1998-99,1999,11,458,778,,704,,130,2070,87063,339,0.0237759,0.0385915
1998-99,1999,12,378,641,,548,,129,1696,84079,321,0.0201715,0.0299601
1998-99,1999,13,243,397,,382,,69,1091,79237,313,0.0137688,0.0197814
1998-99,1999,14,127,265,,202,,38,632,71588,277,0.0088283,0.0116887
1998-99,1999,15,102,175,,102,,17,396,64515,268,0.00613811,0.0109302
1998-99,1999,16,59,133,,66,,13,271,64253,258,0.0042177,0.00633169
1998-99,1999,17,111,150,,118,,20,399,64824,255,0.00615513,0.00639561
