"language_code","language_name","language_synonym","thesaurus_heading_language","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","uri"
"A41","Madoidja","Wawula|Tjupany|Madoitja|Wardal|Wirdinja|Wainawonga|Marduidji|Milamada|Wainawonga|Konin|Waula","Madoidja language A41","","","https://collection.aiatsis.gov.au/austlang/language/a41"
"A42","Tjitijamba","Tjitiyamba|Tjitjijamba|Wardal|Djidjijamba|Waula","","","","https://collection.aiatsis.gov.au/austlang/language/a42"
"A43","Ngaatjatjarra","Ngaatjatjarr|Ngaanyatjarra|Ngaadjadjara|Ngatatjara|Ngadadjara|Bidungu|Madutjara|Maliar:a|Nalada|Ngaatjatarra|Ngada|Ngadawangga|Ngadawongga|Ngadhawonga|Ngaiawongga|Ngaiu wonga|Ngajawonga|Ngarawonga|Ngarga|Ngargawonga|Ngayawangga|Nyadadjara|Pidungu|Tekateka|Wallawee|WaulaNgaadadjara|Ngadatjara|Jabungadja|Ku:rara|Nadadjara|Nga:da|Nga:dapitjardi|Ngad adara|Ngadatara|Ngadjatara|Nganadjara|Ngatatara|Rumudjara|Teitudjara|Wan:udjara|Warara|Wirtjandja|Witjandja","Ngaatjatjarra language A43","-25.081125185629","128.541992553490","https://collection.aiatsis.gov.au/austlang/language/a43"
"A44","Djungurdja","","delete language","","","https://collection.aiatsis.gov.au/austlang/language/a44"
"A49","Wirdinya","Wawula|Wirdinja|Wardal|Jabura|Mardo|Woordinya|Woordunya","Wirdinya language A49","-23.833640834330","120.470826334700","https://collection.aiatsis.gov.au/austlang/language/a49"
"A5","Nungara","Nugara","Nungara language A5","-30.288736633741","120.595012589470","https://collection.aiatsis.gov.au/austlang/language/a5"
"A50","Nyiyaparli","Palyku/Nyiyaparli|Njiyapali|Nijadali|Palyku|Bailgu|Binigura|Niabali|Paljgu|Iabali|Jana|Janari|Njiabadi|Njiabali|Njijabadi|Njijabali|Njijapali|Nyiyabali|Nyiyapali|Njiyabali","Nyiyaparli language A50","-22.924185578630","120.196472450460","https://collection.aiatsis.gov.au/austlang/language/a50"
"A51","Kartujarra","Kartutjarra|Martu Wangka|Katutjara|Katudjara|Katatjara|Kardudjara|Gadudjara|Wal mala|Orailku|Ngadari","Kartujarra language A51","-23.282962677149","122.062536199270","https://collection.aiatsis.gov.au/austlang/language/a51"
"A52","Kiyajarra","Mardu|Giyajarra/Keiadjara|Budijarra|Gardujarra|Giyajarra|Kartudjara|Keiadjara|Mandjildjara|Manyjilyjarra|Potidjara|Wanman|Giadjara|Giyadyara|Giyadjara|Keiatara|Keredjara|Kiadjara|Giad jara|Gijadjara|Targudi|Tjargudi|Djar gudi|Targoodi|Kalgoneidjara|Kalguni","Kiyajarra language A52","-23.510384152199","125.952659601290","https://collection.aiatsis.gov.au/austlang/language/a52"
"A53","Banyjima","Banyjima|Panyjima|Panjtjima|Panytyima|Banjima|Bandjima|Mandanjongo|Papupadu|BanjimaBanyjima|Mandara|Paanjima|Pandima|Pandjima|Panjima|PanyjimaBanydyima","Banyjima language A53","-22.743132667405","118.373003196650","https://collection.aiatsis.gov.au/austlang/language/a53"
"A54","Putijarra","Western Desert Language|Martu Wangka|Pawututjara|Potitjara|Putitjara|Budidjara|Bududjara|Purdi tara|Pawutudjara|Paodudjara|Patudja|Pa tudjara|Partutudjara|Bawndudjara|Partutu|Ngondidjara|Kaltalbudara|Kaltalbudjara|Kaltalbudjira|Poroko|Bardu wonga|Badu|Pardu|Tutudjara","Putijarra language A54","-26.558929055443","120.908397166430","https://collection.aiatsis.gov.au/austlang/language/a54"
"A55","Palyku","Palyku/Nyiyaparli|Mangguldulkara|Paljarri|Nijadali|Bailgu|Binigura|Niabali|Nyiyaparli|Paljgu|Baialja|Bailgo|Bailju|Bailko|Balgo|Balgoo|Balgu|Baligu|Baljgu|Balju|Boolgoo|Pailgo|Pailgu|Palgu|Palgoe|Pulgo|Pulgoe|Balygu","Palyku language A55","-22.239089157585","120.160839786950","https://collection.aiatsis.gov.au/austlang/language/a55"
"A56","Dargudi","Targudi","Dargudi language A56","-23.069376057345","121.045723493040","https://collection.aiatsis.gov.au/austlang/language/a56"
"A58","Nyamal","Pundju|Widagari|Witukari|Gnamo|Ibarga|Ibargo|Ibarrga|Namal|Namarl|Namel|Njalmal|Njamal|Njamarl|Njamat|Nyamarl|Nyamel|Pundju Njamal|Pundu Namal|Tjingkai Njamal|Wanbarda|Weedokarry|Weedookary|Widagaree|Wirdakarri","Nyamal language A58","-21.220189379259","120.029408994960","https://collection.aiatsis.gov.au/austlang/language/a58"
"A59","Ibarga","Nyangumarda|Iparuka|Kundal|Ngolibardu|Ngurlipartu|Nyangumarta|Walyirli|Wanyarli|Ibargo|Ibarrga|Jibarga|Moonyengoota|Powera|Njangamarda|Njangamada|Nyangamada|Nangamada|Nangam urda|Njangomada|Njangumada|Njangumarda|Nangumarda|Nyangumada|Nyangumata|Njadamarda|Njanja marta|Ngapakoreilitja|Ngardungardu|Warmala|I:baruga|Ngapakarna","Ibarga language A59","-21.241791200905","122.308658610200","https://collection.aiatsis.gov.au/austlang/language/a59"
"A6","Maduwongga","Martu Wangka|Manjtjiltjara|Martu|Wangka|Mardu|Budijarra|Gardujarra|Giyajarra|Kartudjara|Keiadjara|Mandjildjara|Manyjilyjarra|Potidjara|Wanman|Jindi|Julbaritja|Kabul|Maduwangga|Maduwonga|Mardo|Mardudjara|Yindi|Marduwangga","Maduwongga language A6","-23.350911655789","123.668422403360","https://collection.aiatsis.gov.au/austlang/language/a6"
"A60","Widagari","Widugari|Nyamal|Widagari/Witukari|Pundju|Witukari|Weedokarry|Weedookarry|Widagaree|Widakari|Wirdagari|Wirdakarri|Wirdugari|Njamal|Nyamel|Namal|Njalmal|Namel|Gnamo|Tjingkai Njamal|Ibarga|Ibarrga|Ibargo|Njamat|Wanbarda|Weedookary|Pundju Njamal|Pundu Namal","Widagari language A60","-21.327989524911","120.639366641650","https://collection.aiatsis.gov.au/austlang/language/a60"
"A61","Nyangumarta","Nyangumarta|Njangumarta|Nyangumarda|Iparuka|Kundal|Ngolibardu|Ngurlipartu|Walyirli|Wanyarli|I:baruga|Ibarga|Ibargo|Ibarrga|Kularupulu|Nangamada|Nangamurda|Nangumada|Nangumarda|Nangumurdu|Ngapakarna|Ngapakoreilitja|Ngardungardu|Ngulipartu|Njadamarda|Njangamada|Njangamarda|Njangomada|Njangumada|Njangumarda|Njanjamarta|NungooMurdoo|Nyaumada|Nyangamada|Nyangumada|Nyangumata|Tjilakurukuru|Waljuli Njangamarda|Warmala|Ibarga/Ibarrga/Ibargo|Nungoomurdoo|Nyangumurtu|Nangam urda|Njanja marta","","-20.479420766843","122.028958910350","https://collection.aiatsis.gov.au/austlang/language/a61"
"A62","Warnman","Wanman|Mardu|Budijarra|Gardujarra|Giyajarra|Kartudjara|Keiadjara|Mandjildjara|Manyjilyjarra|Potidjara|Nanidjara|Nenidjara|Njanidjara|Wanman Wanman|Wanmanba|Wanmin|Warumala|Nanid jara","Warnman language A62","-22.234788799669","123.052411143930","https://collection.aiatsis.gov.au/austlang/language/a62"
"A63","Waringari","Ngarti|Ngardi|Waiangara","Waringari language A63","","","https://collection.aiatsis.gov.au/austlang/language/a63"
"A64","Karajarri","Karatjarri|Karadjeri|Garadjari|Karadjari|Garadare|Garadjara|Garadjeri|Garadyari|Garadyaria|Gardare|Karadhari|Karrajarra|Murgud|Nawurtu|Ngangu|Karatyarri|Kularupulu|Laradjeri|Minala|Nadja|Nadjanadja|Nangu|Naudu|Naurdu|Nawudu|Nawurungainj|Ngawadu|Garad are","","-18.817369678434","122.322621429860","https://collection.aiatsis.gov.au/austlang/language/a64"
"A65","Mangala","Mangarla|Djualin|Djuwali|Djuwalia|Jiwali|Koalgurdi|Manala|Mangai|Mangal|Mangula|Mangunda|Minala|Mungala|Yalmbau","Mangala language A65","-19.639949066406","123.967747215050","https://collection.aiatsis.gov.au/austlang/language/a65"
"A66","Walmajarri","Walmatjarri|Walmadjari|Wolmatjeri|Wolmeri|Bililuna dialect|Djiwalinj|Djiwalinja|Djualin|Djuwali|Jiwarliny|Juwaliny|Ngadjukura|Ngainan|Nganang|Pitangu|Tjiwali|Tjiwalindja|Tjiwaling|Tjiwarlin|Walmadere|Walmadjeri|Walmadyari|Walmadyeri|Walmaharri|Walmaharry|Walmajai|Walmajari|Walmajeri|Walmatjari|Walmatjeri|Walmatjiri|Walmeri|Wanaeka|Waneiga|Wanmadjari|Warinari Pundur|Warmala|Wolmadjari|Wolmaharry|Wolmaijari|Wolmera|Wulumarai|Wulumari|Walmad jeri|Wariari Pundur|Dju alin","Walmajarri language A66","-19.467373171132","126.151251759490","https://collection.aiatsis.gov.au/austlang/language/a66"
"A67","Yulparija","Yulparitja|Martu Wangka|Julbaridja|Nangatara|Yurlparija|Julbarida|Julbre|Julbri|Yulaparitya|Yulbari dja|Yulbaridja|Yulbaridya|Yulbarija|Yulbri|Yurlbaridya|YulapaRitya|Yulbaradja|Jülbre|Yuria|Yulparirra|Nangadjara|Njangadjara|Julbaritja|Ilbaridja|Nanidjara|Nangi|Mangai|Mangi","Yulparija language A67","-21.183997145606","124.954501252000","https://collection.aiatsis.gov.au/austlang/language/a67"
"A68","Kukatja","Gugadja|Kokatja|Gogada|Gogadja|Gogadya|Gogoda|Gogodja|Gugada|Gugadji|Gugudja|Kokata|Koonggada|Kukacha|Kukada|Kukadja|Kukaja|Kukata|Kukatji|Kukuruba|Ku kuruba|Pardoo|Julbaritja|Julbre|Ilbaridja|Nambulatji|Bedengo|Bidong|Bidungo|Peedona|Peedong|Pidung|Pidunga|Manggai|Wangkatjunga|Wangatjunga|Wangatunga|Wangkatunga|Wangkadjungga|Wankutjunga|Wanaeka|Wangu|Panara|Bunara|Boonara","Kukatja language A68","-20.489447500567","127.023870414880","https://collection.aiatsis.gov.au/austlang/language/a68"
"A69","Bunara","Ngardi|Ngardilj|Ngarti|Waringari|Boonarra|Buna:ra|Ngadi|Ngari|Ngati|Panara|Boonara|Waiangara|Kolo|Waiangari|Wain gara|Waiangadi|Warangari|Kukuruba|Woneiga|Wanayaga|Puruwantung|Buruwatung|Manggai|Munga|Walmala|Wommana","Bunara language A69","-20.709303855673","129.046456227920","https://collection.aiatsis.gov.au/austlang/language/a69"
"A7","Tjeraridjal","Nyanganyatjara|Murunitja|Nangatadjara|Pindini|Wanggatha|Dyeraridyal","Tjeraridjal language A7","-30.431851084109","123.783181792560","https://collection.aiatsis.gov.au/austlang/language/a7"
"A70","Wadjiba","","","","","https://collection.aiatsis.gov.au/austlang/language/a70"
"A71","Nhugarn","","","-25.804998816598","115.476224169260","https://collection.aiatsis.gov.au/austlang/language/a71"
"A72","Ngurlipartu","Nyangumarta|Ngolibardu|Nyangumarda|Ngolibardu/Ngurlipartu|Iparuka|Kundal|Walyirli|Wanyarli|Tjilakurukuru","","-21.243272358287","122.328499946570","https://collection.aiatsis.gov.au/austlang/language/a72"
"A73","Walyirli","Nyangumarta|Nyangumarda|Walyirli/Wanyarli|Iparuka|Kundal|Ngolibardu|Ngurlipartu|Wanyarli|Walyurli","","-20.058513211385","121.896240932750","https://collection.aiatsis.gov.au/austlang/language/a73"
"A74","Frazer Range","Fraser Range","","-32.175364004514","123.474465455310","https://collection.aiatsis.gov.au/austlang/language/a74"
